LOC111250971	para
LOC111248801	leak channel
LOC111272041	ppk28
LOC111246667	Cav2
LOC111245386	Cav1
LOC111243209	Cav3
LOC111251402	Cavb1
LOC111243872	Cava2d1
LOC111252049	RyR
LOC111248117	IP3R
111252507	shaker Kv1
111248825	shab Kv2
111246715	shaw Kv3
111244651	shaw Kv3
111248209	ShaI Kv4
111244958	KCNQ/KQT Kv7
111252632	eag Kv10
LOC111250634	IrK
LOC111248245	Slo/BigKCa
LOC111250825	Ih
LOC111254548	TWiK
LOC111248948	TWiK
LOC111250736	TWiK
LOC111252881	TWiK
LOC111255199	TWiK
LOC111249482	two pore K channel
LOC111247479	ClC-c
LOC111250490	ClC-a
111246218	Rdl
111249056	Rdl
111243522	Rdl
111252133	Rdl
111255230	Lcch3
111246926	Grd/8916
111251886	Grd/8916
111249930	GABA3
111251684	pHCl
111247975	12344
111245979	GluCl
111246162	GlyCl like
111251470	GlyCl like
111255352	GlyCl like
111244992	GlyCl like
111250939	GlyCl like
111247154	GlyCl like
111245896	GlyCl like
111247357	GlyCl like
111246831	GlyCl like
111247344	NR1
111246329	NR2
111246056	GluR
111255164	GluR
111248674	GluR
111244732	GluR
111248405	Eye enriched EKAR1 Gluk1-5epsilon
111248359	kaiRID Gluk1-5alpha
111246347	kaiRID
111248023	kainate
111247579	kainate
111246476	kainate
111247324	kainate
111250771	kainate
LOC111251297	ir25a
111252318	STG
111246236	SOL1
111252416	Neto/SOL2
111253514	CNH
111252850	CNH
111252572	a1/a2
111252815	a1/a2
111253274	a6/a7
111243713	a8
111252573	b1
111244582	nACHR
111253393	nACHR
111255488	nACHR
111254055	nACHR
111253106	nACHR
111244881	nACHR
111246556	UNC50
111250249	UNC74/TMX3
111255531	RIC3
LOC111246593	Cng
LOC111255504	Cyclic-gated nucleotide
LOC111243805	TRPA1
LOC111252149	nompC
LOC111252089	Trpm
LOC111245614	trp
LOC111248411	Trpgamma
LOC111253273	pkd
LOC111247376	mucolipin
LOC111243673	TRPML
LOC111251882	b2
LOC111253729	a1
LOC111248829	a2
LOC111254088	TAR1
LOC111243531	DOP1
LOC111253284	DOP3
LOC111245772	5HT1A
LOC111245025	5HT2a
LOC111250607	5HT7
